,Champ,Stats,Items,Runes
0,"Aatrox
Fighter
Tank","Games Played163911762
Pick Rate7.14%
Win Rate51%","['Phage', '', 'Fouet des Pics-de-fer', 'Coques en acier', 'Cristal de rubis', 'Bouclier de Doran', 'Balise camouflée', 'Saut éclair', 'Téléportation', '', '', '', '']","['1\nPrecision', 'Conqueror\nGain stacks of adaptive force when attacking enemy champions. After reaching 12 stacks, heal for a portion of damage you deal to champions.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Second Wind\nAfter taking damage from an enemy champion heal back some missing health over time.', 'Revitalize\nGain 5% Heal and Shield Power.\n\nHeals and shields you cast or receive are 10% stronger on targets below 40% health.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
1,"Aatrox
Fighter
Tank","Games Played163911762
Pick Rate7.14%
Win Rate51%","['Éviscérateur', 'Potion rechargeable', 'Lame de Doran', '', 'Coques en acier', 'Lame de Doran', 'Balise camouflée', 'Téléportation', 'Saut éclair', '', '', '', '']","['1\nPrecision', 'Conqueror\nGain stacks of adaptive force when attacking enemy champions. After reaching 12 stacks, heal for a portion of damage you deal to champions.', 'Triumph\nTakedowns restore 12% of your missing health and grant an additional 20 gold.', 'Legend: Tenacity\nTakedowns on enemies grant permanent Tenacity.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Revitalize\nGain 5% Heal and Shield Power.\n\nHeals and shields you cast or receive are 10% stronger on targets below 40% health.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
2,"Ahri
Mage
Assassin","Games Played59765
Pick Rate7.14%
Win Rate47%","['Poción de corrupción', 'Escarcha eterna', 'Botas de hechicero', 'Llamasombría', '', 'Impulso cósmico', 'Guardián invisible', 'Destello', 'Prender', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Sudden Impact\nGain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.', 'Zombie Ward\nTakedowns on enemy Wards cause friendly Zombie Wards to sprout from their corpses. Gain permanent AD or AP, adaptive for each Zombie Ward spawned plus bonus upon completion.', 'Ingenious Hunter\nUnique takedowns grant permanent Item Haste (includes Trinkets).', '4\nInspiration', 'Biscuit Delivery\nGain a free Biscuit every 2 min, until 6 min. Consuming or selling a Biscuit permanently increases your max mana and restores health and mana.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
3,"Ahri
Mage
Assassin","Games Played59765
Pick Rate7.14%
Win Rate47%","['Botas jonias de la lucidez', 'Desconsuelo de Liandry', 'Reloj de arena de Zhonya', 'Impulso cósmico', 'Alternador hextech', 'Sombrero mortal de Rabadon', 'Visión lejana modificada', 'Destello', 'Teleportar', '', '', '', '']","['2\nDomination', 'Electrocute\nHitting a champion with 3 separate attacks or abilities in 3s deals bonus adaptive damage.', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Ghost Poro\nWhen your wards expire, they leave behind a Ghost Poro. The Ghost Poro grants vision until discovered. Gain permanent AD or AP, adaptive for each Ghost Poro and when your Ghost Poro spots an enemy champion, plus bonus upon completion.', 'Ultimate Hunter\nUnique takedowns grant permanent cooldown reduction on your Ultimate.', '4\nInspiration', 'Minion Dematerializer\nStart the game with 3 Minion Dematerializers. Killing minions with the item gives permanent bonus damage vs. that minion type.', 'Time Warp Tonic\nPotions and biscuits grant some restoration immediately. Gain MS while under their effects.', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
4,"Akali
Assassin","Games Played207883219
Pick Rate7.14%
Win Rate49%","['Cronômetro Quebrado', 'Capuz da Morte de Rabadon', 'Criafendas', 'Sapatos do Feiticeiro', 'Códex Demoníaco', 'Chama Sombria', 'Lente do Oráculo', 'Incendiar', 'Teleporte', '', '', '', '']","['1\nPrecision', 'Conqueror\nGain stacks of adaptive force when attacking enemy champions. After reaching 12 stacks, heal for a portion of damage you deal to champions.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Tenacity\nTakedowns on enemies grant permanent Tenacity.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Second Wind\nAfter taking damage from an enemy champion heal back some missing health over time.', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
5,"Akali
Assassin","Games Played207883219
Pick Rate7.14%
Win Rate49%","['Tomo Amplificador', 'Glacieterno', 'Ampulheta de Zhonya', 'Sapatos do Feiticeiro', 'Chama Sombria', 'Varinha Explosiva', 'Lente do Oráculo', 'Incendiar', 'Flash', '', '', '', '']","['2\nDomination', 'Predator\nAdd an active effect to your boots that grants a large boost of MS and causes your next attack or ability to deal bonus adaptive damage.', 'Taste of Blood\nHeal when you damage an enemy champion.', 'Zombie Ward\nTakedowns on enemy Wards cause friendly Zombie Wards to sprout from their corpses. Gain permanent AD or AP, adaptive for each Zombie Ward spawned plus bonus upon completion.', 'Ingenious Hunter\nUnique takedowns grant permanent Item Haste (includes Trinkets).', '3\nResolve', 'Second Wind\nAfter taking damage from an enemy champion heal back some missing health over time.', 'Overgrowth\nGain permanent max health when minions or monsters die near you.', 'Adaptive Force\n+9 Adaptive Force', 'Adaptive Force\n+9 Adaptive Force', 'Magic Resist\n+8 Magic Resist']"
6,"Akshan
Marksman
Assassin","Games Played56089286
Pick Rate7.14%
Win Rate51%","['Botas Galvanizadas de Aço', 'Arco-escudo Imortal', 'Gume do Infinito', 'Lâmina de Doran', 'Canhão Fumegante', 'Sentinela de Controle', 'Alteração Vidente', 'Flash', 'Teleporte', '', '', '', '']","['1\nPrecision', 'Press the Attack\nHitting an enemy champion 3 consecutive times makes them vulnerable, dealing bonus damage and causing them to take more damage from all sources for 6s.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Shield Bash\nWhenever you gain a shield, your next basic attack against a champion deals bonus adaptive damage.', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
7,"Akshan
Marksman
Assassin","Games Played56089286
Pick Rate7.14%
Win Rate51%","[""Lord Dominik's Regards"", 'Plated Steelcaps', '', 'Immortal Shieldbow', '', 'Stormrazor', 'Farsight Alteration', 'Flash', 'Teleport', '', '', '', '']","['1\nPrecision', 'Press the Attack\nHitting an enemy champion 3 consecutive times makes them vulnerable, dealing bonus damage and causing them to take more damage from all sources for 6s.', 'Presence of Mind\nIncrease your mana or energy regeneration when damaging an enemy champion. Takedowns restore mana or energy.', 'Legend: Alacrity\nTakedowns on enemies grant permanent Attack Speed.', 'Last Stand\nDeal more damage to champions while you are low on health.', '3\nResolve', 'Shield Bash\nWhenever you gain a shield, your next basic attack against a champion deals bonus adaptive damage.', 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Attack Speed\n+10% Attack Speed', 'Adaptive Force\n+9 Adaptive Force', 'Armor\n+6 Armor']"
8,"Alistar
Tank
Support","Games Played20019
Pick Rate7.14%
Win Rate53%","['Vigilant Wardstone', 'Kindlegem', 'Evenshroud', 'Ionian Boots of Lucidity', 'Thornmail', 'Bulwark of the Mountain', 'Oracle Lens', 'Flash', 'Exhaust', '', '', '', '']","['4\nResolve', 'Aftershock\nAfter immobilizing an enemy champion gain defenses and later deal a burst of magic damage around you.', ""Font of Life\nImpairing the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked."", 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '4\nInspiration', 'Hextech Flashtraption\nWhile Flash is on cooldown it is replaced by Hexflash.\n\nHexflash: Channel, then blink to a new location.', 'Cosmic Insight\n+18 Summoner Spell Haste\n+10 Item Haste', 'Scaling Cooldown Reduction\n+1-10% CDR (based on level)', 'Armor\n+6 Armor', 'Armor\n+6 Armor']"
9,"Alistar
Tank
Support","Games Played20019
Pick Rate7.14%
Win Rate53%","['', ""Giant's Belt"", 'Kindlegem', 'Bulwark of the Mountain', 'Evenshroud', ""Mercury's Treads"", 'Oracle Lens', 'Ignite', 'Flash', '', '', '', '']","['4\nResolve', 'Aftershock\nAfter immobilizing an enemy champion gain defenses and later deal a burst of magic damage around you.', ""Font of Life\nImpairing the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked."", 'Bone Plating\nAfter taking damage from an enemy champion, the next 3 spells or attacks you receive from them deal 30-60 less damage.\n\n\nDuration: 1.5s\nCooldown: 45s', 'Unflinching\nGain a small amount of tenacity that increases with missing health.', '4\nInspiration', 'Minion Dematerializer\nStart the game with 3 Minion Dematerializers. Killing minions with the item gives permanent bonus damage vs. that minion type.', 'Hextech Flashtraption\nWhile Flash is on cooldown it is replaced by Hexflash.\n\nHexflash: Channel, then blink to a new location.', 'Attack Speed\n+10% Attack Speed', 'Armor\n+6 Armor', 'Magic Resist\n+8 Magic Resist']"
